,Requirements for,CHEMICAL ENGINEERING,,,...Catalog Year 2023-2024,,"If this is the 1st/Primary
major and the Course Requirement to the left
will not be taken, note 
the Approved Course Substitution below.","If this is the 2nd major,
an X below indicates that
the course is required and
must be taken; or note the
Approved Course Substitution below.",,,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,,,,,
,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",,,,,
,HSSA Requirements,36,,,,,,,,,
,   HSSA #1 - HUM H190,,First-Year Writing Seminar,4,,,,,,,
,   HSSA #2  ,,Humanities & Arts (H),4,,,,,,,
,   HSSA #3  ,,Social Sciences (S),4,,,,,,,
,   HSSA #4  ,,H or S or Language (L),4,,,,,,,
,   HSSA #5  ,,H or S or L,4,,,,,,,
,   HSSA #6  ,,H or S or L,4,,,,,,,
,   HSSA #7  ,,H or S or L,4,,,,,,,
,   HSSA #8  ,,H or S (cannot be a language),4,,,,,,,
,   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4,,,,X,,,
,,,,,,,,,,,
,General Requirements,68,,,,,,,,,
,   RHIT 100,,Foundations for Rose-Hulman Success,1,,,,,,,
,   CHEM 111,,"Chemistry I          (Lect@3,Lab@1)",4,,,,X,,,
,   CHEM 113,,"Chemistry II         (Lect@3,Lab@1)",4,,,,X,,,
,   CHEM 115,,"Chemistry III        (Lect@3,Lab@1)",4,,,,X,,,
,   CHEM 225,,"Analytical Chem I  (Lect@3,Lab@1)",4,,,,X,,,
,   CHEM 251,,"Organic Chemistry I   (Lect@3,Lab@1)",4,,,,X,,,
,   CHEM 252,,"Organic Chemistry II  (Lect@3,Lab@1)",4,,,,X,,,
60,   CHEM 360,,Intro to Physical Chemistry,4,,,,X,,,
,   ES213 & ES213L,,Electrical Systems & Elec Sys Lab (3+1),4,,,, ,,,
,   MA 111,,Calculus I,5,,,,X,,,
,   MA 112,,Calculus II,5,,,,X,,,
,   MA 113,,Calculus III,5,,,,X,,,
,   MA 221,,Matrix Algebra & Diff Equations I,4,,,,X,,,
,   MA 222,,Matrix Algebra & Diff Equations II,4,,,,X,,,
,   MA 223,,Engineering Statistics I,4,,,,X,,,
,   PH 111,,Physics I,4,,,,X,,,
,   PH 112,,Physics II,4,,,,X,,,
,,,,,,,,,,,
